"신고항목별(1)",신고항목별(2),2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"신고항목별(1)",신고항목별(2),연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%
"신고항목별(1)",신고항목별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"특별 공제",소계,-,23923120,-,7467268,5809432,26603993,1256718,9906102,6441026,30277262,1331622,11138169,7024947,34475871,1397004,12509560,7261627,37047796,1420938,13615306,7654454,39402695,1507667,14492450,8212218,43125817,1543502,15777588,8764771,45249968,1565369,16144785,9254545,47235042,1623291,16595547,9474209,19500229,1653949,6920253,9796113,20525596,1718259,7232629,10313136,22378173,1759536,7743290,10882971,24196475,1787794,8174256,11529185,27080609,1847054,8979660,12182704,30510309,1906958,9984240,12652041,33331518,1940325,10741020
"특별 공제",보험료,5377092,9780573,1171400,2978014,5806009,10951929,1256516,3442729,6436670,12598356,1331345,3921848,7021270,14453075,1396626,4503356,7258555,15304534,1420628,4738814,7651931,16564757,1507474,5208045,8209802,19070250,1543276,6094502,8762343,21045193,1565133,6582864,9252060,22746334,1623007,7039483,9469786,15908949,1653749,5951200,9791518,16975592,1718050,6366118,10308510,18412927,1759360,6832964,10879171,19751731,1787585,7187168,11525038,21737924,1846881,7844885,12178061,24445628,1906753,8724182,12646700,27051120,1940087,9500472
"특별 공제",의료비,1467780,2818110,249612,571457,1471744,2758047,329021,912947,1815262,3655471,387310,1199685,2444387,5056255,517583,1649677,2651207,5502348,552542,1778163,2787837,5786090,578260,1844559,3061724,6399944,607143,1972814,3256893,6879103,616983,2045995,3399426,7233275,628724,2114630,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",교육비,2023319,5699235,558136,1694531,2113517,6119317,699341,2434307,2247711,6718600,747256,2720204,2855178,8323489,936644,3393368,2823965,9500586,932131,3993180,2926199,9933018,971667,4172333,2968829,9901168,987353,4241004,2951780,9350826,972384,4071249,3053926,9208449,991164,4057418,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",주택임차차입금,1302432,1905630,331844,627165,1480530,2421588,417315,944431,1645328,2994234,450822,1133421,40518,36361,5382,6756,56699,61208,5383,6983,153361,197151,11563,18324,208095,268631,16167,27025,266501,357272,20505,36884,301093,415413,24312,44322,389196,564333,35367,65080,434743,666705,43722,84480,476724,738448,48901,96643,525604,818126,55024,114062,623775,984065,64303,139941,766302,1187581,69353,156215,893437,1315130,78365,169509
"특별 공제",월세액,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14939,14401,-,-,14810,14992,1,1,93470,106888,17,15,116800,162524,10,13,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",장기주택저당차입금,-,-,-,-,-,-,-,-,-,-,-,-,744492,2189429,206110,715461,782156,2041899,216633,668216,792407,2051714,222455,672636,831484,2285868,219513,713558,675581,1969675,167739,567923,778251,1884878,172028,491244,907824,2252275,195826,552834,1084036,2590437,238253,651731,1239658,3099386,261483,759214,1358771,3571303,275396,849012,1492996,4338207,291191,986534,1620721,4869724,311491,1100973,1746184,4962150,317495,1069773
"특별 공제",기부금,3101566,3578205,932087,1596101,3341794,4204450,1029504,2171688,3483207,4154752,1076944,2163011,3634599,4274666,1132563,2240943,3931704,4637220,1190227,2429950,4118176,4855563,1271731,2576554,4428337,5184963,1320927,2728684,4709343,5541012,1333474,2839855,4923854,5584169,1393436,2848438,334616,774671,78180,351139,102023,292862,22778,130302,41041,127412,8701,54469,16679,55315,3429,24014,6530,20414,1229,8300,2477,7375,385,2870,924,3118,123,1266
"특별 공제",혼인ㆍ이사ㆍ장례비,130465,141367,-,-,136311,148662,-,-,142541,155849,-,-,132201,142596,-,-,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"표준공제",소계,2177350,1778015,18383,18383,2257370,1847968,6256,6256,2928005,2468765,5754,5754,2948815,2485443,6478,6472,3216446,2776694,7051,7050,3469996,3029429,5230,5228,3621697,3179496,4731,4728,3732630,3308337,5041,5026,3821965,3398470,5615,5605,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
